trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9999980000006666}",25,0,-211.51493134065427,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.002, 'e': 0.9999920000106667}",20,3,-104.30765987632867,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.002, 'e': 0.999982000054}",25,0,-127.76718695814004,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",1
4,False,"{'a': 0.002, 'e': 0.9999680001706663}",30,0,-152.5720334835636,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9999500004166653}",20,6,-52.96709893872144,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.002, 'e': 0.9999280008639958}",25,0,-180.0326165830246,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-167.40651994872786,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9998720027306434}",20,0,-68.6134688143717,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9998380043739528}",20,0,-114.99981978407656,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9998000066665778}",25,0,-105.20731769541497,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9997580097605092}",30,5,-174.0338441377853,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",1
12,False,"{'a': 0.002, 'e': 0.9997120138237345}",30,0,-179.84879663797958,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9996620190402377}",25,0,-125.34174215375596,"{0: 14, 1: 7, 2: 0, 3: 3, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9996080256099974}",25,0,-101.26955283519563,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9995500337489875}",20,0,-38.68761405698398,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
