trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",20,0,-131.1845387779385,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",25,0,-131.7997447921975,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",25,0,-293.546099271198,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 6}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",30,0,-263.70078007985035,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-160.9289786642086,"{0: 14, 1: 5, 2: 1, 3: 3, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",30,0,-169.5769725684158,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",20,0,-44.708544495110964,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,8,-32.4714797118494,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",25,0,-129.0072223412334,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",25,0,-66.52068418284959,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",20,0,-54.83628529720273,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",20,0,-44.02645067631641,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",35,0,-140.54926000760975,"{0: 24, 1: 0, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",30,0,4.923244376574489,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",30,0,-60.809216041383,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",30,0,-83.44308284540874,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",20,0,-11.008415290113899,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",20,0,-80.7812848215614,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",35,2,-80.70878864388146,"{0: 28, 1: 0, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",25,0,28.74128555053946,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-14.648332288063598,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-40.12051137517468,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,7,-50.71466531508466,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,21.76368273646434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,16.733827720439347,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,2.49425068193774,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,4,16.19975920384175,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.33263979029019,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,0.8717035211630528,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.747594434536555,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
