trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",25,0,-150.3904274533153,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.99}",20,0,-65.14735438644693,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.985}",25,15,-8.293963619591377,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.1, 'e': 0.98}",20,0,-98.41236856717678,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.975}",25,0,-169.74974118574488,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.97}",25,0,-61.34495943409425,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.965}",30,4,-91.18689460686602,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.96}",25,0,-44.12777301237425,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.955}",20,0,-152.5445201213876,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.95}",25,0,-209.62429141816511,"{0: 9, 1: 3, 2: 10, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.945}",20,0,-141.87738375091803,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.94}",20,0,-72.39563835620304,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",30,0,-250.44622392971914,"{0: 17, 1: 3, 2: 1, 3: 6, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-140.89487751906034,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",25,0,-141.7789728500962,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-120.1163796453855,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",35,0,-90.91842683575197,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-109.89164035889962,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",30,0,-98.71101625774266,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",25,5,-17.29231195749279,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,0,-118.64944637932088,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",25,0,-115.45131614921156,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",25,0,-189.64658627991406,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-113.9969065646315,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",20,4,-21.162958440954082,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",25,0,-190.1185847513244,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",20,3,-76.47845281007933,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,0,-36.38093022617309,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",20,0,-249.7559346757091,"{0: 6, 1: 3, 2: 6, 3: 1, 4: 4}",0
