trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",25,0,-53.29434324934608,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-3.8466589071527055,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",20,0,-79.66938633804382,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",25,10,-86.25051769121553,"{0: 7, 1: 1, 2: 5, 3: 2, 4: 0}",1
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",30,0,-170.47829010908885,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-162.85475139691664,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",35,0,-136.2840278592401,"{0: 27, 1: 3, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",20,0,-168.19865270859725,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",30,0,-135.6290299214789,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",25,0,-110.82918118574466,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,0,-98.70396759910254,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,0,-34.61968903260056,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",30,0,-71.01566861645574,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",20,0,1.7843186529123596,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",25,0,24.634817765804687,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': -0.029199522301288815}",20,0,8.99504568756615,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': -0.12884449429552486}",25,3,-28.988410729807434,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': -0.2272020946930871}",20,0,26.16846003432064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': -0.3232895668635036}",20,0,-34.49091419898534,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': -0.4161468365471424}",25,0,-21.265827109602405,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,6.720660376637614,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,0.6494001875965874,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-141.9238643400741,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-2.525977471988752,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-7.417066756713499,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,6,1.6489607987295776,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,5,-49.90987202561577,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,11.458018609830914,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.6533430180617,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",35,0,12.073140375097427,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
