trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,8,-82.92800775881072,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.1, 'e': 0.99}",20,0,-124.07181354834272,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.985}",25,0,-227.63665518089755,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.98}",30,0,-232.0181477157206,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.1, 'e': 0.975}",20,0,-80.39165500244465,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.97}",25,0,-206.09724464420572,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.965}",30,0,-195.2817988699634,"{0: 15, 1: 5, 2: 5, 3: 3, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.96}",25,11,-147.3483565092556,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 3}",1
9,False,"{'a': 0.1, 'e': 0.955}",20,0,-126.78966322534389,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.95}",20,0,-128.27853301076527,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.945}",25,0,-194.61754213598383,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.94}",25,0,-140.1426285833703,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",35,22,-19.20487365763034,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",25,0,-100.43585824201683,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",25,0,-147.4634105853822,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-86.41329557396858,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",25,0,-51.24207335135875,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-169.05192437286374,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",30,0,-72.13353505537222,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-191.49761906029926,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,7,-162.56845365645916,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 2}",1
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",20,0,-236.95767067571774,"{0: 6, 1: 1, 2: 8, 3: 2, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",20,0,-21.827993968812066,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",25,0,-68.40318725479884,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",30,0,-38.47518022881412,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",20,0,-112.69197142810413,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",30,0,-183.9402961098297,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",25,0,-105.19330208496946,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",30,0,-134.00041015880493,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-31.91602196328085,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.8449999999999999}",20,13,-49.14506546600975,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.1, 'e': 0.8399999999999999}",20,0,-120.26220288358115,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.8349999999999999}",20,0,-76.63424911238187,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,0,-187.51214622475837,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.1, 'e': 0.8249999999999998}",20,0,-74.25803360888666,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.8199999999999998}",20,0,-142.79276386982886,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.1, 'e': 0.8149999999999998}",35,0,-273.52507545272795,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 5}",0
38,False,"{'a': 0.1, 'e': 0.8099999999999998}",25,0,-69.33756196761443,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.8049999999999998}",20,0,-94.60022941949191,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-57.906730598595466,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.7949999999999998}",25,0,-130.92886383195653,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.1, 'e': 0.7899999999999998}",25,0,-17.37749576709521,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.7849999999999998}",20,6,-30.578973946592388,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.7799999999999998}",25,8,-21.890127944863135,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.7749999999999998}",20,0,-171.72474079435122,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
46,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,9,-10.604105836039189,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.7649999999999998}",20,0,-21.4386509484782,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.7599999999999998}",20,0,-101.51660750636646,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.1, 'e': 0.7549999999999998}",25,0,-156.34015451221703,"{0: 12, 1: 0, 2: 9, 3: 4, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-112.42558225266085,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.7449999999999998}",20,0,-117.17194118822816,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.7399999999999998}",25,0,-70.27691503629725,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.1, 'e': 0.7349999999999998}",20,8,-39.07461768921684,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.7299999999999998}",20,1,-84.82906398590156,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 1}",1
55,False,"{'a': 0.1, 'e': 0.7249999999999998}",25,0,-39.089089598403625,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.7199999999999998}",20,5,-33.493726229495046,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.7149999999999997}",20,0,-99.73366721268691,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.7099999999999997}",20,0,-29.616124855045967,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.7049999999999997}",20,0,19.519874372389584,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,8,-55.33243294673889,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.1, 'e': 0.6949999999999997}",30,0,-76.94679697660486,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.6899999999999997}",20,0,-122.37773247430489,"{0: 8, 1: 3, 2: 6, 3: 3, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.6849999999999997}",25,2,-29.607117230350365,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
