trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,5,-55.9289921574,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.99}",30,0,-94.4631054286,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.985}",20,0,-52.038314143,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 0.1, 'e': 0.98}",20,0,-27.1220291367,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.1, 'e': 0.975}",20,0,-58.2538682654,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.97}",25,10,-17.1400209211,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.965}",20,14,-10.5505054653,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.96}",20,0,-88.3348019977,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.955}",25,0,-138.0227080762,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.1, 'e': 0.95}",25,0,-92.5833202307,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.945}",20,0,-68.8974639102,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.94}",25,0,-114.6625694915,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",25,0,-71.2195825731,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",25,0,-194.931688941,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",1
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",25,0,-136.7835966399,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-89.400467092,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",30,0,-138.4256963096,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",1
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-203.9464913305,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",1
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",25,0,-287.5281841111,"{0: 8, 1: 1, 2: 11, 3: 1, 4: 4}",1
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-83.5524860449,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,0,-155.8350667508,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",1
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",25,0,-145.5512635687,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",1
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",20,0,-71.0322299684,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-83.1911203311,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",20,0,-65.5697698403,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",25,0,-32.5186052436,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",20,0,-165.5755742264,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",25,0,-155.1867276406,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",1
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",20,0,-52.6777528472,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.8499999999999999}",25,14,-50.9638338989,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.8449999999999999}",20,0,-174.7219032363,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",1
32,False,"{'a': 0.1, 'e': 0.8399999999999999}",25,0,-144.8068208556,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",1
33,False,"{'a': 0.1, 'e': 0.8349999999999999}",20,0,-192.8670590909,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 4}",1
34,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,0,-60.8495114362,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.8249999999999998}",30,0,-34.0323174669,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.8199999999999998}",25,5,-24.9892773357,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.8149999999999998}",20,0,-228.090201577,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 4}",1
38,False,"{'a': 0.1, 'e': 0.8099999999999998}",25,0,-118.4739187431,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",1
39,False,"{'a': 0.1, 'e': 0.8049999999999998}",25,0,-101.7361449363,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.7999999999999998}",20,0,-65.4248861802,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.7949999999999998}",25,0,-159.5650114171,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",1
42,False,"{'a': 0.1, 'e': 0.7899999999999998}",25,0,-16.9381338085,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.7849999999999998}",20,0,-29.0038870106,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.7799999999999998}",25,0,-185.8207709699,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",1
45,False,"{'a': 0.1, 'e': 0.7749999999999998}",20,0,-109.6894018517,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",1
46,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,0,-124.1512580166,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",1
47,False,"{'a': 0.1, 'e': 0.7649999999999998}",20,0,-96.0612759761,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
48,False,"{'a': 0.1, 'e': 0.7599999999999998}",30,0,-34.9605051019,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.7549999999999998}",25,17,-2.7626722375,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.7499999999999998}",25,0,-96.8887628558,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.1, 'e': 0.7449999999999998}",35,0,-194.8592137438,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",1
52,False,"{'a': 0.1, 'e': 0.7399999999999998}",25,0,-133.4985774581,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",1
