trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-71.70570319185666,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-41.713077384283366,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-61.16812807745702,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': -0.4161468365471424}",25,8,-132.61602602634417,"{0: 9, 1: 1, 2: 2, 3: 4, 4: 1}",1
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",20,0,-94.47724496209096,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -0.9899924966004454}",20,0,3.683801208588719,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': -0.9364566872907963}",20,8,19.538887853668147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': -0.6536436208636119}",25,0,-129.95512093737256,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': -0.2107957994307797}",25,0,-6.829934927589907,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,0,-19.38802122595208,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-94.70044518181204,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-43.6481307993996,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-278.3824644380191,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-50.82896758091678,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,0,-163.94764438824632,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': -0.14550003380861354}",20,3,-61.49107538088276,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': -0.6020119026848236}",25,16,-109.44739122563632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': -0.9111302618846769}",25,8,-50.043638300826515,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': -0.9971721561963784}",30,16,11.37296833659956,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.8390715290764524}",20,5,15.916689728938852,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,7,24.384436027145313,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-129.71715639794584,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-42.01717146458238,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-51.57487391788855,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,18,18.699762483936293,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,13,-12.713730537365763,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-138.3012885368654,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-3.9804576875022852,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.79180823526563,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-108.07859171322798,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
