trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,0,-176.46714387584066,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",25,0,-304.71183263847706,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 6}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",25,0,-76.7649965648411,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",25,0,-161.4433470473343,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-143.23621048365672,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-20.76049048632546,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",20,5,-42.874654669660686,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",20,0,-111.08723840989222,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",20,0,-82.51120493473059,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",25,0,-87.9107266577431,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,0,-98.10769134992323,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,0,-85.10340324666218,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,0,-12.579635847798464,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",20,0,-29.03301256311041,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",30,0,-56.67320351057429,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",30,0,-28.2614861639471,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",35,7,11.98035910299364,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",20,0,-56.142503757363244,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",35,19,-2.942725918024963,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",25,0,-24.39830577271932,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.5048461045998576}",20,0,-90.03430363056543,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.5885011172553458}",30,0,-83.81583496048847,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.6662760212798244}",20,1,-43.82120209934718,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.1, 'e': 0.7373937155412458}",30,5,-31.306285270108962,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.8011436155469337}",20,0,-135.39721946652793,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.8568887533689473}",30,0,-153.4918770217989,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.9040721420170612}",25,0,-56.58500809037787,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9422223406686583}",25,0,-229.40641541117273,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 5}",0
29,False,"{'a': 0.1, 'e': 0.9709581651495907}",20,0,-80.64681959502917,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.9899924966004454}",20,0,-92.51168715714826,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9991351502732795}",25,0,-126.87022426195755,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
