trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",35,8,-201.75343695665921,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 4}",1
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,6,-58.36689542047515,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-153.31863956294205,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-149.0211457984344,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",25,0,-166.80715697866557,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-70.8258956529986,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-121.91906167192296,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-78.38379379509155,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-60.37269131757259,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-108.60693745866119,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-223.15244986631984,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-149.33735954409912,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-175.0014950345398,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-119.54736404998435,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-106.46491490865336,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-63.313668816133365,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",25,0,-198.37444357974385,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-106.60154909441955,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.981179362242806}",35,0,-207.83138747725576,"{0: 23, 1: 4, 2: 3, 3: 1, 4: 4}",0
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,0,-117.4131524926386,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",30,0,-76.56970491660847,"{0: 22, 1: 3, 2: 1, 3: 4, 4: 0}",0
22,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-140.35461813875366,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,0,-109.64594040128708,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9762857097579093}",30,0,-186.35378824660174,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.001, 'e': 0.9753099120283326}",25,0,-57.94203608278496,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-113.00652305643214,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.9733612415243368}",30,0,-196.53009098761214,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-172.86985704732527,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-46.32935543282003,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-113.08134423124628,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9694755730760259}",25,0,-99.54611951530582,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.001, 'e': 0.9685065820791976}",35,0,-154.44180305041309,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.967538559589032}",20,0,-53.96184447084923,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,0,-126.0889885410684,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9656054162575665}",20,0,-120.6287246683862,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,0,-231.9651990999363,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
37,False,"{'a': 0.001, 'e': 0.9636761353490535}",20,0,-62.66734517975001,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.9627129408911995}",35,0,-173.70705848229412,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9617507091463667}",20,0,-38.49846504555292,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,0,-178.42619832903736,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
41,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-58.72278849138721,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.001, 'e': 0.9588697805724845}",30,0,-239.6229346225108,"{0: 14, 1: 5, 2: 7, 3: 0, 4: 4}",0
43,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-90.94181770413472,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9569539574730467}",25,0,-205.12059319612857,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
45,False,"{'a': 0.001, 'e': 0.9559974818331}",30,1,-268.7039352352433,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 5}",1
46,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-93.93289461117568,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-187.6780827307662,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-125.79381676115749,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-211.6169642657058,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
50,False,"{'a': 0.001, 'e': 0.951229424500714}",20,0,-152.0152684566965,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.950278670532427}",25,0,-61.08736770281989,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-62.65054510513429,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.001, 'e': 0.9483800124822982}",20,0,-82.27309063768838,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-105.973804317593,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9464851479534838}",25,0,-126.38732010455362,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.001, 'e': 0.9455391358903963}",20,0,-92.54607523217597,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.001, 'e': 0.9445940693665233}",25,0,-91.41204588975027,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9436499474367985}",25,14,-18.213631781424418,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-67.40918141158879,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9417645335842487}",30,0,-217.0962937466062,"{0: 16, 1: 2, 2: 6, 3: 4, 4: 2}",0
61,False,"{'a': 0.001, 'e': 0.9408232397760097}",25,0,-45.045723054441595,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.001, 'e': 0.9398828867910889}",30,0,-96.97606020838067,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
63,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,8,-74.46662879862785,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.001, 'e': 0.9380049995307295}",20,0,-103.71562916586304,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
65,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,0,-54.726350853578396,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
66,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-126.40713005059699,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
67,False,"{'a': 0.001, 'e': 0.9351952013367766}",20,0,-171.1982428219493,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
68,False,"{'a': 0.001, 'e': 0.9342604735772135}",30,0,-74.34927862326099,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
69,False,"{'a': 0.001, 'e': 0.933326680078202}",30,0,-205.69025534417068,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
70,False,"{'a': 0.001, 'e': 0.9323938199059483}",35,0,-245.00318556716917,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
71,False,"{'a': 0.001, 'e': 0.9314618921275921}",25,0,-80.71320712473687,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
72,False,"{'a': 0.001, 'e': 0.9305308958112057}",30,14,-109.48627505484801,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
73,False,"{'a': 0.001, 'e': 0.9296008300257927}",20,0,-115.59648185471366,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,0,-139.8329719164262,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
75,False,"{'a': 0.001, 'e': 0.9277434863285529}",20,5,-63.026412394466504,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 0}",1
76,False,"{'a': 0.001, 'e': 0.9268162065593822}",30,13,-70.43106844933699,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-113.86944288766641,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.9249644265435393}",25,11,-58.68097334213653,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
79,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-176.79916385314368,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
80,False,"{'a': 0.001, 'e': 0.9231163463866358}",30,0,-155.87825796989128,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
81,False,"{'a': 0.001, 'e': 0.922193691444608}",20,0,-124.59946217381805,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.9212719586963487}",25,18,-8.748548423224738,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.001, 'e': 0.9203511472201247}",30,0,-108.9811769429436,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
84,False,"{'a': 0.001, 'e': 0.9194312560951247}",25,0,-200.76552661333022,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
85,False,"{'a': 0.001, 'e': 0.9185122844014574}",20,0,-47.57893047477346,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.001, 'e': 0.9175942312201509}",30,0,-116.59810541605363,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.9166770956331523}",25,6,-74.72329744703663,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.001, 'e': 0.9157608767233256}",20,0,-103.96727875553887,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.914845573574452}",25,0,-122.00958255016641,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.001, 'e': 0.9139311852712282}",35,0,-224.61240993945236,"{0: 16, 1: 6, 2: 9, 3: 2, 4: 2}",0
91,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,0,-124.55418281989371,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9121051495450904}",25,0,-118.85102457140546,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9111935002961405}",20,0,-53.57925627890408,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.910282762240767}",35,0,-102.79582156287434,"{0: 21, 1: 8, 2: 5, 3: 0, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.9093729344682314}",25,0,-118.18379824956358,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9084640160687062}",20,0,-79.33009605971608,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
97,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-129.32872797445702,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
98,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,0,-37.70713314181673,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9057427080235485}",20,0,-36.17131088846868,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.001, 'e': 0.9048374180359595}",25,0,-105.15472441352183,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.001, 'e': 0.9039330328858641}",30,0,-60.463639769268624,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
102,False,"{'a': 0.001, 'e': 0.9030295516688768}",30,0,-111.1490164045937,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9021269734815165}",20,0,-67.37355208449146,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
104,False,"{'a': 0.001, 'e': 0.9012252974212047}",20,0,-75.85312469793351,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
