trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",25,0,-80.19036908307397,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",30,0,-133.7363479696357,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",35,8,-116.82254111304289,"{0: 16, 1: 6, 2: 2, 3: 2, 4: 1}",1
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",20,0,-6.021827807160749,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-79.42975756685317,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-80.281861208263,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",20,0,-111.20915631642647,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",20,0,-114.93070973467957,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",20,0,-99.4576555120437,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",20,0,-50.133972144563046,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,13,-13.080092462606034,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,0,-74.32054982757408,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",30,0,-69.70705389752767,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",20,0,-8.731311154242746,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",20,3,-132.12848699444416,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 3}",1
16,False,"{'a': 0.1, 'e': -0.029199522301288815}",25,10,23.611213146588586,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': -0.12884449429552486}",25,0,-35.9959891599756,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': -0.2272020946930871}",20,0,-34.88909361978807,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': -0.3232895668635036}",35,15,-4.080234522776309,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.1, 'e': -0.4161468365471424}",20,0,17.802923606251056,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,13,-11.802441366517915,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,4.728351628623974,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.922835345374313,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-79.09205144732522,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.20973224116959,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,1,-95.6930464509354,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,18.797734508219776,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,10,9.800275875845811,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,7.137967947344451,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,14.182054695472296,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
