trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-20.872509869918954,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-48.787774293051974,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-66.07308383761453,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-137.61774577174418,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-168.0414769600694,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",35,19,-91.2139811720222,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-222.16393476654122,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-189.39186292336476,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-121.76518189735651,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-114.43537047954953,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-48.92229362492584,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-130.71503557185335,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-130.0024688705249,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-88.67830482813842,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,15,-70.60196185725952,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-121.62306006476204,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-88.888778922846,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-111.7925734744295,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-108.50528163001128,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-180.70304440738278,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-149.25799435162608,"{0: 10, 1: 2, 2: 11, 3: 2, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-122.93642113635565,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-117.75632409128637,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-134.66195687669813,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-46.18263448527641,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-158.79055201651747,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-256.3982889580376,"{0: 12, 1: 0, 2: 7, 3: 2, 4: 4}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-106.20609015070725,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-125.07424762412539,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-130.79162161040546,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-189.17190828205977,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-255.18440813541787,"{0: 16, 1: 1, 2: 7, 3: 2, 4: 4}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,0,-107.95309845196006,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-182.0903012515115,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-255.55964814604704,"{0: 9, 1: 3, 2: 9, 3: 0, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-66.4351692445287,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-97.43502967643872,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-60.71446683257837,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-17.936002581239244,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-41.270708022947574,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-108.30558114445854,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",35,0,-109.09840097669957,"{0: 22, 1: 7, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-70.35335224139962,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-70.1057502146235,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-180.12879427099608,"{0: 6, 1: 6, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,7,-14.06344600969009,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-127.00626549597199,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-123.564236747296,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-137.8352558796205,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-97.54759366738405,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-123.3108326227566,"{0: 16, 1: 1, 2: 3, 3: 5, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-111.12065012006546,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-63.75094764078267,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-149.47268341128225,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-87.21492390043738,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-72.42702829992865,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-118.19403439018976,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-71.28216244971482,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-78.41369816457569,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-126.43578001668445,"{0: 19, 1: 1, 2: 0, 3: 3, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-93.19503914079442,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-153.56705070922976,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-143.795237517199,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,4,-97.17956742993275,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,0,-33.20013292799792,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-97.29447942938046,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-84.47301541108662,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-86.71225315877868,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-62.222391893958516,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,10,-4.954644585758505,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-17.239990034696145,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-147.53522557902343,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,20,1.9847052820243702,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-160.39019285089918,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,13,-52.866064563317984,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-72.33142450808246,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",25,8,-74.59882378610602,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-111.62553531374932,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,0,-59.09992664191469,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,0,-175.4807920026604,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,7,-106.32065967560028,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",25,14,-40.538575835483,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-77.47816095648417,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-35.62508240313225,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-120.30277617181162,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,8,-171.47945868766698,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 2}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-128.56475032130675,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-80.21973760718706,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-78.01208010600114,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-14.403824863377174,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,4,-18.09256153545979,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",30,2,-54.100838166519424,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-93.78608532299593,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-81.19595337802748,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-63.505117087376576,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-117.74025715084339,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,8,-16.6777245873445,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-97.93867695285991,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-38.55457203627518,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,15,-18.320328334037484,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,0,-103.26243017955167,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,14,-15.601980794517434,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",35,19,-213.1634493480558,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 5}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,0,-47.36003991616555,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,15,-6.676880129927804,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",35,9,-72.21633727519074,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",30,19,-51.11369332176608,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,17.335143054483613,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,1,-42.33910486245468,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,0,-108.60822203974234,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,-99.10618972957313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,0,-60.976323886421255,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,13,10.626596752443982,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-59.72974343417716,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-14.678917082999076,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,15,21.074590077436714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-16.96211310178912,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,14,-9.184664685222144,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,0,17.771522490784537,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,25.287540642641897,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-47.780802796263025,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,6,-65.05457828000472,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,6,-65.12550546510873,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,16,16.968573063624458,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,2,16.847059270501056,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,2,2.8547615582862087,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
