trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9999995000000417}",25,0,-103.63805029133736,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.9999980000006666}",20,0,-32.72330217825615,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.999995500003375}",25,0,-44.19598437578276,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.9999920000106667}",25,0,-203.40775753689002,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-127.49200609139692,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.999982000054}",25,0,-154.34207063881323,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9999755001000415}",20,0,-135.55642569571467,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9999680001706663}",20,0,-107.04724781469261,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9999595002733742}",20,1,-32.70247042464596,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.001, 'e': 0.9999500004166653}",20,0,-74.27338025799766,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9999395006100392}",35,0,-121.64957094588272,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9999280008639958}",25,0,-158.58667301984926,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9999155011900349}",20,0,-100.34756721688302,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9999020016006562}",20,0,-135.78081420214602,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9998875021093592}",20,0,-124.36522566066581,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9998720027306434}",20,0,-93.16944407236201,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9998555034800082}",20,0,-125.53160902718975,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.9998380043739528}",25,0,-140.8473630712048,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
