trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.9999995000000417}",20,0,-84.92214604486179,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9999980000006666}",20,0,-32.123704738437965,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.999995500003375}",35,0,-390.2074605395354,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 7}",0
4,False,"{'a': 0.001, 'e': 0.9999920000106667}",30,0,-209.8345907975791,"{0: 15, 1: 1, 2: 10, 3: 2, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-149.88609737502813,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.999982000054}",35,4,-112.3529443862134,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.001, 'e': 0.9999755001000415}",20,0,-33.01341121640477,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-196.49854874195532,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.001, 'e': 0.9999595002733742}",30,0,-154.944757176801,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9999500004166653}",25,0,-68.261416627687,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9999395006100392}",20,10,-22.151163085358412,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.001, 'e': 0.9999280008639958}",25,0,-161.8113046634743,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9999155011900349}",20,0,-44.17964318358961,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9999020016006562}",20,0,-168.0536254797844,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9998875021093592}",25,0,-242.13525598831026,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.001, 'e': 0.9998720027306434}",20,0,-117.05215193091898,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9998555034800082}",30,0,-140.71657447374264,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.9998380043739528}",20,0,-103.6526282763052,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.9998195054299763}",25,0,-96.98224720099552,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.9998000066665778}",25,0,-231.91705861651062,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9997795081032559}",30,0,-181.46196466550944,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9997580097605092}",25,0,-157.70403283746245,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.9997355116598361}",20,0,-68.11013666220856,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9997120138237345}",25,0,-138.92221238718327,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
