trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.1, 'e': 0.5799999999999996}",20,0,-83.81320506658881,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.5749999999999996}",25,0,-56.2009537963652,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.5699999999999996}",20,11,-74.99352209661464,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.1, 'e': 0.5649999999999996}",20,0,-68.05063623029642,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
88,False,"{'a': 0.1, 'e': 0.5599999999999996}",25,0,-108.37146340992552,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.1, 'e': 0.5549999999999996}",20,2,17.44989375159065,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,6,-23.586017675172595,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.5449999999999996}",25,0,-28.225932221086794,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.5399999999999996}",20,0,-52.29858192054683,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.5349999999999996}",30,18,-22.681261122394446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.1, 'e': 0.5299999999999996}",30,12,-24.341369954699225,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.1, 'e': 0.5249999999999996}",20,0,-65.04565023188678,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.5199999999999996}",25,11,-33.816208141365664,"{0: 10, 1: 2, 2: 0, 3: 2, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.5149999999999996}",30,0,-57.76372188349789,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.5099999999999996}",30,15,-36.05667505098907,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.1, 'e': 0.5049999999999996}",20,5,14.60567620362304,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,1,-66.61926632734693,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
101,False,"{'a': 0.1, 'e': 0.49499999999999955}",20,9,-11.419373603870106,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.48999999999999955}",20,9,-88.18491897810725,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
103,False,"{'a': 0.1, 'e': 0.48499999999999954}",35,8,-119.83368174727363,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 2}",1
104,False,"{'a': 0.1, 'e': 0.47999999999999954}",20,14,-30.648921368487212,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.1, 'e': 0.47499999999999953}",20,0,2.2910058688949775,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.46999999999999953}",25,9,-28.760432203931533,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.1, 'e': 0.4649999999999995}",30,9,-11.900652569403725,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.4599999999999995}",25,6,19.120756053770307,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.4549999999999995}",25,5,-16.346959306458487,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.1, 'e': 0.4499999999999995}",25,7,-63.790490546922214,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.1, 'e': 0.4449999999999995}",20,0,17.332547213218135,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.4399999999999995}",25,6,-1.9322253736754582,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.4349999999999995}",20,7,-26.74326323915797,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.1, 'e': 0.4299999999999995}",35,21,-5.290432120251067,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.4249999999999995}",20,0,-70.87856338579097,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.1, 'e': 0.4199999999999995}",20,12,15.393504727744313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.4149999999999995}",35,7,-64.15839080163175,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.1, 'e': 0.4099999999999995}",25,2,-12.59684932230553,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.40499999999999947}",30,17,17.692432901702098,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.39999999999999947}",20,13,-41.37369773448446,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.1, 'e': 0.39499999999999946}",20,11,10.091839811443043,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.38999999999999946}",20,0,24.977590372554996,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.38499999999999945}",20,8,9.453594742197872,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.37999999999999945}",30,4,-77.69479142212457,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 2}",1
125,False,"{'a': 0.1, 'e': 0.37499999999999944}",25,17,-39.513080613673026,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.1, 'e': 0.36999999999999944}",20,0,6.671547187413343,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.1, 'e': 0.36499999999999944}",30,15,-20.58987342817681,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.35999999999999943}",25,8,-51.16931539141528,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
129,False,"{'a': 0.1, 'e': 0.3549999999999994}",20,6,17.713275102640154,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.3499999999999994}",25,13,-17.287862900646843,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.3449999999999994}",25,10,-20.1085571819088,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.1, 'e': 0.3399999999999994}",30,10,-47.9597208776346,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
133,False,"{'a': 0.1, 'e': 0.3349999999999994}",20,7,2.3322964348968283,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
